run_id,hostname,suite_type,test_name,benchmark_name,dataset,metric,pg_parallel_workers,top,m,ef_construction,ef_search,lists,sampling_factor,nprob,epsilon,residual_quantization,build_threads,load_time_s,clustering_time,index_build_time_s,index_size,recall,qps,p50_latency_ms,p99_latency_ms
20260129134130,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-5m-190-35000-test-ip,25-50-1.9,laion-5m-test-ip,dot,32,10,N/A,N/A,N/A,"[190, 35000]",256,"25,50",1.9,True,N/A,67,72.73s,128,21 GB,0.94621,523.7298353371534,1.874561537988484,2.4529271875508134
20260129134130,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-5m-190-35000-test-ip,50-100-1.0,laion-5m-test-ip,dot,32,10,N/A,N/A,N/A,"[190, 35000]",256,"50,100",1.0,True,N/A,67,72.73s,128,21 GB,0.94594,331.0204737606838,3.006852581165731,3.508357289247216
20260129134130,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-5m-190-35000-test-ip,50-100-1.5,laion-5m-test-ip,dot,32,10,N/A,N/A,N/A,"[190, 35000]",256,"50,100",1.5,True,N/A,67,72.73s,128,21 GB,0.96156,321.0357386409405,3.099590539932251,3.6690049129538247
20260129134130,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-5m-190-35000-test-ip,50-100-1.9,laion-5m-test-ip,dot,32,10,N/A,N/A,N/A,"[190, 35000]",256,"50,100",1.9,True,N/A,67,72.73s,128,21 GB,0.96658,315.5080404291481,3.138251951895654,3.873921397607775
20260129141107,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-100m-160000-test-ip,10-20-1.0,laion-100m-test-ip,dot,32,10,N/A,N/A,N/A,"[400, 160000]",256,"10,20",1.0,True,N/A,N/A,529.94s,1460,400 GB,0.8711,447.4729379553577,2.148966072127223,4.094462590292096
20260129141107,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-100m-160000-test-ip,10-20-1.5,laion-100m-test-ip,dot,32,10,N/A,N/A,N/A,"[400, 160000]",256,"10,20",1.5,True,N/A,N/A,529.94s,1460,400 GB,0.8856,440.1696819881156,2.193147549405694,4.1071271570399395
20260129141107,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-100m-160000-test-ip,10-20-1.9,laion-100m-test-ip,dot,32,10,N/A,N/A,N/A,"[400, 160000]",256,"10,20",1.9,True,N/A,N/A,529.94s,1460,400 GB,0.8885,428.4829545263702,2.2634180495515466,4.220123637933283
20260129141107,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-100m-160000-test-ip,15-30-1.0,laion-100m-test-ip,dot,32,10,N/A,N/A,N/A,"[400, 160000]",256,"15,30",1.0,True,N/A,N/A,529.94s,1460,400 GB,0.8952,337.09253579538745,2.8831419767811894,5.228327543009071
20260129141107,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-100m-160000-test-ip,15-30-1.5,laion-100m-test-ip,dot,32,10,N/A,N/A,N/A,"[400, 160000]",256,"15,30",1.5,True,N/A,N/A,529.94s,1460,400 GB,0.9122,329.4828893106344,2.9490559827536345,5.180988993961361
20260129141107,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-100m-160000-test-ip,15-30-1.9,laion-100m-test-ip,dot,32,10,N/A,N/A,N/A,"[400, 160000]",256,"15,30",1.9,True,N/A,N/A,529.94s,1460,400 GB,0.9154,323.52754986421206,3.0052385991439223,5.325862884055822
